GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-example,org.song.example,Calc,13,19,0,0,2,5,2,5,2,5
jacoco-example,org.song.example,Text,6,10,0,0,2,2,2,2,2,2
